Step, Temperature, Energy
1,83.36346611153111,-215.73421474066748,33.26987628979248
251,87.82060539547297,-215.75604884427,35.048694751883836
501,87.8197644600259,-215.7762047389029,35.048359139419574
751,87.81892367587463,-215.79468275882388,35.04802358733659
1001,87.81808300256874,-215.8114831574922,35.04768807949135
1251,87.81724239976491,-215.82660610777646,35.04735259978307
1501,87.8164018272358,-215.84005170217876,35.047017132157244
1751,87.81556124487793,-215.8518199530759,35.046681660608826
2001,87.81472061272054,-215.86191079297666,35.046346169185725
2251,87.81387989093353,-215.87032407479646,35.046010641991934
2501,87.81303903983637,-215.8770595721487,35.04567506319123
2751,87.81219801990663,-215.88211697965326,35.04533941701042
3001,87.81135679178865,-215.8854959132625,35.04500368774288
3251,87.81051531630244,-215.8871959106044,35.04466785975213
3501,87.80967355445254,-215.88721643134426,35.04433191747527
3751,87.80883146743744,-215.88555685756342,35.04399584542688
4001,87.80798901665828,-215.88221649415715,35.04365962820235
4251,87.80714616372883,-215.87719456925115,35.043323250481976
4501,87.80630287048459,-215.87049023463626,35.04298669703452
4751,87.80545909899297,-215.86210256622329,35.04264995272131
